STORENAME,street_numb,STREET_ADD,address_combined,CITY,ST,ZIP,COUNTY,TYPE,SNAP
WALGREENS 3251,15,MAIN STREET,15 MAIN STREET,WALTHAM,MA,2451,MIDDLESEX,CO,Yes
DB MART 827,15,LOCUST STREET,15 LOCUST STREET,NORTHAMPTON,MA,1060,HAMPSHIRE,CS,Yes
SHAW'S SUPERMARKET 7619/166,15,STATE RD,15 STATE RD,DARTMOUTH,MA,2747,BRISTOL,SS,Yes
STORE 24 26,15,MAIN STREET,15 MAIN STREET,FITCHBURG,MA,1420,WORCESTER,CS,Yes
CROSBYS MARKET,15,WALNUT ST,15 WALNUT ST,HAMILTON,MA,1982,ESSEX,SS,Yes
WALGREENS 2945,16,BEACON STREET,16 BEACON STREET,SOMERVILLE,MA,2143,MIDDLESEX,CO,Yes
STOP & SHOP 438,16,BOSTON ROAD,16 BOSTON ROAD,CHELMSFORD,MA,1824,MIDDLESEX,SM,Yes
DOLLY MARKET,16,DACIA STREET,16 DACIA STREET,DORCHESTER,MA,2125,SUFFOLK,SG,Yes
CUMBERLAND FARMS 173,16,Westfield Rd,16 Westfield Rd,RUSSELL,MA,1071,HAMPDEN,CS,Yes
CVS PHARMACY 913,16,"CENTRAL SQ., MAIN ST","16 CENTRAL SQ., MAIN ST",BRIDGEWATER,MA,2324,PLYMOUTH,CO,Yes
CVS PHARMACY 400,16,BOSTON RD,16 BOSTON RD,CHELMSFORD,MA,1824,MIDDLESEX,CO,Yes
THE VILLAGE STORE,16,LAUREL ST,16 LAUREL ST,WORCESTER,MA,1608,WORCESTER,MG,Yes
D & T Market LLC,17,High Rock St,17 High Rock St,Lynn,MA,1902,ESSEX,CS,Yes
Knox Food Mart,17,Knox St,17 Knox St,Springfield,MA,1105,HAMPDEN,CS,Yes
HARBOR POINT FOOD MART,17,HARBOR POINT BLVD,17 HARBOR POINT BLVD,DORCHESTER,MA,2125,SUFFOLK,CS,Yes
RITE AID 10050,17,SPRINGFIELD ST,17 SPRINGFIELD ST,AGAWAM,MA,1001,HAMPDEN,CO,Yes
Getty Mart,18,Springfield St,18 Springfield St,Agawam,MA,1001,HAMPDEN,CS,Yes
Hyannis Food Mart,18,Center St,18 Center St,Hyannis,MA,2601,BARNSTABLE,MG,Yes
STAR MARKET # 7596/576 7596,18,SISSON RD,18 SISSON RD,HARWICH,MA,2645,BARNSTABLE,SS,Yes
FOREST HILL MART,18,HYDE PARK AVENUE,18 HYDE PARK AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,CS,Yes
BROOKLINE SUPERETTE,18,PLEASANT,18 PLEASANT,BROOKLINE,MA,2446,NORFOLK,CS,Yes
SOUSA'S MINI MART,18,MORGAN STREET,18 MORGAN STREET,FALL RIVER,MA,2721,BRISTOL,CS,Yes
HANNAFORD SUPERMARKET,18,MAIN ST,18 MAIN ST,TOWNSEND,MA,1469,MIDDLESEX,SS,Yes
RUTLAND PHARMACY INC,18,MAPLE AVE  BOX 0233,18 MAPLE AVE  BOX 0233,RUTLAND,MA,1543,WORCESTER,CO,Yes
Asian Market,19,Pomona St,19 Pomona St,Springfield,MA,1108,HAMPDEN,SG,Yes
SUPER STOP & SHOP 005,19,HOWLEY STREET,19 HOWLEY STREET,PEABODY,MA,1960,ESSEX,SM,Yes
CUMBERLAND FARMS 6617,19,MONTAGUE ST/BOX 9488,19 MONTAGUE ST/BOX 9488,N AMHERST,MA,1059,HAMPSHIRE,CS,Yes
CVS PHARMACY 2112,19,EASTERN AVENUE,19 EASTERN AVENUE,DEDHAM,MA,2026,NORFOLK,CO,Yes
STOP & SHOP 008,19,TEMPLE STREET,19 TEMPLE STREET,FRAMINGHAM,MA,1701,MIDDLESEX,SM,Yes
SUNNYHURST FARMS,19,LEBANON ST,19 LEBANON ST,MALDEN,MA,2148,MIDDLESEX,CS,Yes
BD Mart,20,East St,20 East St,Springfield,MA,1104,HAMPDEN,CO,Yes
White Hen Pantry 1-7901-5,20,W Central St,20 W Central St,Franklin,MA,2038,NORFOLK,CS,Yes
Sweet Things,20,5th St,20 5th St,Chelsea,MA,2150,SUFFOLK,SG,Yes
WALGREENS 2669,20,WESTON STREET,20 WESTON STREET,WALTHAM,MA,2454,MIDDLESEX,CO,Yes
UNION STATION FARMS,20,TEMPLE ST,20 TEMPLE ST,WORCESTER,MA,1604,WORCESTER,SG,Yes
WALYO'S VARIETY STORE,20,ESSEX STREET,20 ESSEX STREET,SALEM,MA,1970,ESSEX,CS,Yes
STAR MARKET # 7589/567 7589,20,SIDNEY ST,20 SIDNEY ST,CAMBRIDGE,MA,2138,MIDDLESEX,SS,Yes
ROCHE BROS SUPERMARKETS INC 116,20,ROCHE BROS WAY,20 ROCHE BROS WAY,EASTON,MA,2356,BRISTOL,SS,Yes
WHEELERS MARKET,21,LOCUST ST,21 LOCUST ST,SPRINGFIELD,MA,1108,HAMPDEN,CS,Yes
PRICERITE OF BROCKTON,21,TORREY ST,21 TORREY ST,BROCKTON,MA,2301,PLYMOUTH,SS,Yes
NORTH MAIN STREET QUICK STOP,21,NORTH MAIN ST,21 NORTH MAIN ST,MIDDLEBORO,MA,2301,PLYMOUTH,SG,Yes
WOO RI MARKET,21,WEST MAIN STREET,21 WEST MAIN STREET,AYER,MA,1432,MIDDLESEX,SG,Yes
WALGREENS 2716,21,JOYCE STREET,21 JOYCE STREET,LYNN,MA,1902,ESSEX,CO,Yes
OMNI FOODS,21,CENTER STREET,21 CENTER STREET,WESTON,MA,2493,MIDDLESEX,SS,Yes
QUISQUEYA MARKET,21,HIGH STREET,21 HIGH STREET,CLINTON,MA,1510,WORCESTER,SG,Yes
HANNAFORD SUPERMARKET 19,21,TIMPANY BLVD,21 TIMPANY BLVD,GARDNER,MA,1440,WORCESTER,SS,Yes
RICHDALE CONVENIENCE  STORE,22,S. MAIN ST,22 S. MAIN ST,RANDOLPH,MA,2368,NORFOLK,MG,Yes
WALGREENS 1871,22,LANGLEY ROAD,22 LANGLEY ROAD,NEWTON CENTER,MA,2459,MIDDLESEX,CO,Yes
PARKER'S MEAT & DELI,22,Olney STREET,22 Olney STREET,SEEKONK,MA,2771,BRISTOL,MG,Yes
CVS PHARMACY 1225,22,MAIN STREET,22 MAIN STREET,BLACKSTONE,MA,1504,WORCESTER,CO,Yes
CVS PHARMACY 686,22,INDEPENDENCE AVE.,22 INDEPENDENCE AVE.,QUINCY,MA,2169,NORFOLK,CO,Yes
CUMBERLAND FARMS 6703,22,PARK RIVERDALE STREET,22 PARK RIVERDALE STREET,WEST SPRINGFIEL,MA,1089,HAMPSHIRE,CS,Yes
BRANT ROCK MARKET,22,DYKE RD,22 DYKE RD,BRANT ROCK,MA,2020,PLYMOUTH,LG,Yes
DEL PUEBLO MARKET,23,MARKET SQ,23 MARKET SQ,LYNN,MA,1901,ESSEX,MG,Yes
ROUXS MARKET,23,FRONT ST,23 FRONT ST,SHIRLEY,MA,1464,WORCESTER,CS,Yes
PORTUGALIA IMPORTS INC,23,TREMONT STREET,23 TREMONT STREET,FALL RIVER,MA,2720,BRISTOL,SM,Yes
LOWELL PROVISION CO INC,23,AIKEN AVE,23 AIKEN AVE,LOWELL,MA,1850,MIDDLESEX,SM,Yes
A B Tineo Grocery,24,Everett Ave,24 Everett Ave,Chelsea,MA,2150,SUFFOLK,MG,Yes
MILLSTONE FARM MARKET,24,SOUTH MAIN STREET,24 SOUTH MAIN STREET,SUNDERLAND,MA,1375,FRANKLIN,MG,Yes
WEST CONCORD SUPERMARKET,24,COMMONWEALTH AVE,24 COMMONWEALTH AVE,CONCORD,MA,1742,MIDDLESEX,CO,Yes
KMART 3401,24,CANNING BLVD,24 CANNING BLVD,FALL RIVJER,MA,2721,BRISTOL,SM,Yes
LEEDS MART,24,HAYDENVILLE RD,24 HAYDENVILLE RD,LEEDS,MA,1053,HAMPSHIRE,CS,Yes
